bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,18.47619,175.047619,0.260848,237,17.535851,29.414938,0.316423,0.95711
0,18.47619,175.428571,0.261172,238,17.462321,29.414938,0.317505,0.957339
0,18.571429,176.142857,0.2611,239,17.275442,29.731042,0.320211,0.956749
0,18.571429,176.142857,0.26086,240,17.268067,29.731042,0.320482,0.956016
0,18.761905,181.52381,0.275848,241,16.82329,30.15263,0.324269,0.980922
0,19.428571,183.190476,0.287073,239,16.464788,31.065202,0.321429,1.009724
0,19.52381,184.0,0.28956,240,16.390802,31.592778,0.322511,1.014666
0,19.52381,186.619048,0.295608,241,16.004979,31.564052,0.325758,1.024549
0,19.333333,186.952381,0.293434,242,16.019065,31.327871,0.328598,1.01739
0,19.52381,189.0,0.30005,243,15.780465,32.146304,0.331034,1.029141
0,19.428571,189.0,0.297648,244,15.77203,32.231523,0.333198,1.022122
0,19.904762,191.190476,0.308922,243,15.492656,32.566299,0.331034,1.051275
0,19.904762,191.190476,0.307422,244,15.372226,32.566299,0.332927,1.047766
0,19.904762,191.47619,0.305968,245,15.191543,33.172553,0.335363,1.043316
0,20.0,191.904762,0.305742,246,15.067619,33.346419,0.336986,1.042728
0,20.095238,191.904762,0.305061,247,14.948826,33.575282,0.337798,1.039808
0,20.190476,191.904762,0.308335,245,14.993906,33.451642,0.334821,1.043998
0,20.190476,191.904762,0.307905,246,14.979952,33.451642,0.335227,1.042696
